"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Kawhi Leonard","Lac","F","32","2","40.2","30","11.9","17","0.882","34","0.529","10","0.6","0.614","0.67","34.5","6.5","6","2","0.5","3","41","40.5","47","11","129.4","110.8"
"2","Devin Booker","Pho","G","26.6","11","41.7","29","11.7","67","0.866","180","0.611","61","0.508","0.649","0.686","33.7","4.8","7.2","1.7","0.8","2.9","38.5","40.9","45.7","10.1","130.7","110"
"3","Anthony Edwards","Min","G","21.9","5","39.7","32.4","6.5","39","0.846","71","0.563","43","0.349","0.548","0.602","31.6","5","5.2","1.8","2","1.6","36.6","36.8","41.8","9.4","122.1","111"
"4","Stephen Curry","Gol","G","35.2","13","37.9","31.6","11.9","58","0.845","154","0.571","157","0.363","0.558","0.588","30.5","5.2","6.1","1","0.5","3.2","35.6","36.5","41.7","10.4","112.4","112"
"5","Nikola Jokic","Den","C","28.3","20","39.4","31.2","14.5","139","0.799","338","0.568","76","0.461","0.591","0.631","30","13.5","9.5","1.1","1","3.5","43.5","39.5","53","15.9","127.1","104.5"
"6","Trae Young","Atl","G","24.7","6","38.4","34.4","13.8","43","0.86","95","0.442","54","0.333","0.463","0.521","29.2","3.7","10.2","1.7","0.7","4","32.8","39.3","43","10.8","109","115.8"
"7","Kevin Durant","Pho","F","34.7","11","42.3","28.8","14.8","96","0.917","173","0.52","51","0.333","0.516","0.599","29","8.7","5.5","0.8","1.4","3.5","37.7","34.5","43.3","10.5","115.1","110.3"
"8","Jalen Brunson","Nyk","G","26.8","11","40.3","28.5","9.1","68","0.912","150","0.553","80","0.325","0.53","0.589","27.8","4.9","5.6","1.4","0.1","2.1","32.7","33.5","38.4","9.1","122.8","111.4"
"9","De'Aaron Fox","Sac","G","25.5","7","38.5","31","14.5","41","0.756","102","0.48","63","0.333","0.488","0.524","27.4","5.4","7.7","2.1","0.6","4","32.9","35.1","40.6","10.9","105.9","109.5"
"10","Jayson Tatum","Bos","F-G","25.3","20","40","29.5","12.2","137","0.876","240","0.55","164","0.323","0.524","0.585","27.2","10.5","5.3","1.1","1.1","2.8","37.7","32.4","42.9","11.5","115.3","107"
"11","Jimmy Butler","Mia","F","33.7","22","39.7","29.1","8.5","186","0.806","364","0.492","78","0.359","0.5","0.565","26.9","6.5","5.9","1.8","0.6","1.9","33.4","32.8","39.2","10.2","119.2","111.4"
"12","Jamal Murray","Den","G","26.3","20","39.9","28","10.9","81","0.926","261","0.517","149","0.396","0.545","0.586","26.1","5.7","7.1","1.5","0.3","2.5","31.8","33.2","38.9","10.2","117.7","111.5"
"13","Ja Morant","Mem","G","23.8","5","37.4","30.1","13.8","26","0.769","75","0.427","31","0.419","0.486","0.524","24.6","6.8","7","1.8","0.2","3.4","31.4","31.6","38.4","11.3","107.3","107.7"
"14","LeBron James","Lal","F","38.5","16","38.7","26.7","11.9","92","0.761","189","0.63","106","0.264","0.546","0.584","24.5","9.9","6.5","1.1","1.1","2.5","34.4","31","40.9","12","117.3","109.1"
"15","Khris Middleton","Mil","F","31.8","5","34.6","28.3","16.4","30","0.867","54","0.5","32","0.406","0.541","0.6","23.8","6.4","6.2","0.6","0","3.4","30.2","30","36.4","11.3","117.1","106.8"
"16","Joel Embiid","Phi","C-F","29.2","9","37.4","30.9","18.6","84","0.905","125","0.488","28","0.179","0.448","0.561","23.7","9.8","2.7","0.7","2.8","3.9","33.4","26.3","36.1","9.2","105","106.6"
"17","Russell Westbrook","Lac","G","34.6","5","38.5","29.7","16","25","0.88","77","0.429","28","0.357","0.457","0.509","23.6","7.4","7.4","1.2","1.4","4","31","31","38.4","11.3","103.9","109.6"
"18","Desmond Bane","Mem","G","25","6","38.6","26.4","12.7","29","0.931","66","0.5","50","0.32","0.491","0.548","23.5","6","3.2","0.5","0","2.8","29.5","26.7","32.7","7.9","106.6","108.2"
"19","Mikal Bridges","Bro","F","26.8","4","39.4","29.7","9.4","23","0.783","52","0.442","25","0.4","0.494","0.539","23.5","5.3","4","0.5","0.5","2","28.8","27.5","32.8","8","106.9","116.8"
"20","Giannis Antetokounmpo","Mil","F","28.5","3","30.5","37.1","20.8","31","0.452","50","0.56","3","0","0.528","0.525","23.3","11","5.3","0.3","0.7","4.7","34.3","28.7","39.7","14.5","99.3","102.5"
"21","Donovan Mitchell","Cle","G","26.8","5","41.3","29.8","15.4","18","0.722","59","0.542","45","0.289","0.495","0.518","23.2","5","7.2","2","0.6","3.8","28.2","30.4","35.4","9.1","101.9","106.5"
"22","Dejounte Murray","Atl","G","26.7","5","38.1","25.3","8.8","9","1","66","0.485","37","0.378","0.515","0.538","23","7.2","6.8","2","0.2","2","30.2","29.8","37","10.9","115.3","114.7"
"23","Jaylen Brown","Bos","G-F","26.6","20","37.5","27.9","15.3","74","0.689","252","0.56","113","0.354","0.551","0.57","22.7","5.6","3.4","1.1","0.4","3.3","28.3","26.1","31.7","8.1","103.3","107.1"
"24","Anthony Davis","Lal","F-C","30.3","16","38","24.3","11.8","108","0.852","239","0.531","15","0.333","0.53","0.599","22.6","14.1","2.6","1.4","3.1","2.1","36.6","25.1","39.2","9.9","117.9","102.8"
"25","Norman Powell","Lac","G","30.1","5","33.5","24.5","9.5","31","0.774","44","0.523","32","0.406","0.559","0.608","21.8","3","2.2","0.8","0.4","1.6","24.8","24","27","6.3","118.8","110.4"
"26","Darius Garland","Cle","G","23.4","5","37.7","27.2","18.3","25","0.84","49","0.469","31","0.387","0.513","0.566","20.6","1.8","5","1.6","0.2","3.6","22.4","25.6","27.4","6","104.3","106.2"
"27","Tyrese Maxey","Phi","G","22.6","11","38.5","23.4","4","31","0.903","107","0.449","85","0.4","0.516","0.55","20.5","4.8","2.3","1.4","0.5","0.7","25.4","22.8","27.6","6.3","113.5","110.7"
"28","James Harden","Phi","G","33.8","11","38.8","26.2","16","55","0.873","101","0.406","82","0.378","0.478","0.538","20.3","6.2","8.3","1.8","0.4","3.2","26.5","28.5","34.7","10.5","110.3","108.4"
