,RANK,FULL NAME,POSITION,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,FRANCHISE,SALARY,SALARY.FORMATED
129,116,Wesley Matthews,G,36.7,2,20.7,9.2,0.0,0,0.0,2,0.0,7,0.571,0.667,0.667,6.0,1.5,0.5,1.0,0.5,0.0,7.5,6.5,8.0,3.2,140.8,108.9,2022-2023,Milwaukee Bucks,2905851,"$2,905,851 "
130,153,MarJon Beauchamp,F,22.7,2,2.6,24.3,0.0,0,0.0,2,0.5,1,1.0,0.833,0.833,2.5,0.5,0.0,0.0,0.0,0.0,3.0,2.5,3.0,0.0,,,2022-2023,Milwaukee Bucks,2485200,"$2,485,200 "
131,163,Goran Dragic,G,37.1,2,3.7,21.7,0.0,4,1.0,1,0.0,1,0.0,0.0,0.532,2.0,0.0,0.5,0.0,0.0,0.0,2.0,2.5,2.5,0.0,,,2022-2023,Milwaukee Bucks,3523762,"$3,523,762 "
132,165,Jae Crowder,F,32.9,4,10.3,15.3,7.0,2,0.5,7,0.429,6,0.0,0.231,0.252,1.8,1.0,0.8,0.5,0.0,0.3,2.8,2.5,3.5,4.4,67.9,103.0,2022-2023,Milwaukee Bucks,10183800,"$10,183,800 "
133,171,Jevon Carter,G,27.7,4,12.3,7.7,0.0,0,0.0,2,0.5,7,0.143,0.278,0.278,1.3,1.0,1.0,0.3,0.0,0.0,2.3,2.3,3.3,3.5,85.0,115.4,2022-2023,Milwaukee Bucks,6025000,"$6,025,000 "
134,194,Thanasis Antetokounmpo,F,30.9,2,2.6,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2022-2023,Milwaukee Bucks,1878720,"$1,878,720 "
135,207,Meyers Leonard,F-C,31.3,2,2.6,8.1,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,2022-2023,Milwaukee Bucks,713558,"$713,558 "
136,16,Joel Embiid,C-F,29.2,9,37.4,30.9,18.6,84,0.905,125,0.488,28,0.179,0.448,0.561,23.7,9.8,2.7,0.7,2.8,3.9,33.4,26.3,36.1,9.2,105.0,106.6,2022-2023,Philadelphia 76ers,33616770,"$33,616,770 "
137,27,Tyrese Maxey,G,22.6,11,38.5,23.4,4.0,31,0.903,107,0.449,85,0.4,0.516,0.55,20.5,4.8,2.3,1.4,0.5,0.7,25.4,22.8,27.6,6.3,113.5,110.7,2022-2023,Philadelphia 76ers,2726880,"$2,726,880 "
138,28,James Harden,G,33.8,11,38.8,26.2,16.0,55,0.873,101,0.406,82,0.378,0.478,0.538,20.3,6.2,8.3,1.8,0.4,3.2,26.5,28.5,34.7,10.5,110.3,108.4,2022-2023,Philadelphia 76ers,33000000,"$33,000,000 "
139,44,Tobias Harris,F,30.9,11,35.6,17.5,5.6,15,0.867,93,0.591,41,0.366,0.578,0.597,15.3,7.3,1.6,0.6,0.5,0.7,22.5,16.9,24.2,6.3,121.7,109.2,2022-2023,Philadelphia 76ers,37633050,"$37,633,050 "
140,94,De'Anthony Melton,G,25.0,11,24.9,15.6,9.0,8,0.75,32,0.375,49,0.388,0.5,0.515,7.9,3.3,1.6,1.2,0.8,0.7,11.2,9.5,12.8,5.6,110.4,109.3,2022-2023,Philadelphia 76ers,8250000,"$8,250,000 "
141,126,Paul Reed,F,24.0,11,14.3,13.9,13.5,7,1.0,38,0.579,0,0.0,0.579,0.621,4.6,5.5,0.6,0.5,0.4,0.5,10.1,5.3,10.7,6.9,137.4,103.8,2022-2023,Philadelphia 76ers,1782621,"$1,782,621 "
142,130,Georges Niang,F,30.0,11,14.3,12.1,12.2,0,0.0,10,0.6,26,0.462,0.667,0.667,4.4,0.4,0.2,0.0,0.2,0.5,4.7,4.5,4.9,2.0,110.6,110.7,2022-2023,Philadelphia 76ers,3465000,"$3,465,000 "
143,156,Jalen McDaniels,F-C,25.4,8,12.7,10.5,13.0,0,0.0,11,0.455,9,0.333,0.475,0.475,2.4,2.0,0.6,0.1,0.0,0.4,4.4,3.0,5.0,4.5,98.8,109.8,2022-2023,Philadelphia 76ers,1930681,"$1,930,681 "
144,157,Jaden Springer,G,20.7,4,4.2,16.1,19.2,2,0.5,4,1.0,0,0.0,1.0,0.922,2.3,0.0,0.0,0.3,0.0,0.3,2.3,2.3,2.3,0.0,133.8,105.7,2022-2023,Philadelphia 76ers,2125200,"$2,125,200 "
145,173,Shake Milton,G-F,26.7,6,3.5,15.2,15.5,2,1.0,4,0.75,1,0.0,0.6,0.68,1.3,0.5,0.3,0.3,0.0,0.2,1.8,1.7,2.2,6.6,,,2022-2023,Philadelphia 76ers,1997718,"$1,997,718 "
146,184,Furkan Korkmaz,G-F,25.9,3,3.8,15.9,29.1,2,1.0,1,0.0,1,0.0,0.0,0.347,0.7,0.3,0.3,0.0,0.0,0.3,1.0,1.0,1.3,4.2,,,2022-2023,Philadelphia 76ers,5000000,"$5,000,000 "
147,204,Montrezl Harrell,F-C,29.4,2,3.5,19.8,0.0,0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,2022-2023,Philadelphia 76ers,2463490,"$2,463,490 "
148,216,Dewayne Dedmon,C,33.8,1,5.0,18.5,50.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,94.9,2022-2023,Philadelphia 76ers,8283688,"$8,283,688 "
149,21,Donovan Mitchell,G,26.8,5,41.3,29.8,15.4,18,0.722,59,0.542,45,0.289,0.495,0.518,23.2,5.0,7.2,2.0,0.6,3.8,28.2,30.4,35.4,9.1,101.9,106.5,2022-2023,Cleveland Cavaliers,30913750,"$30,913,750 "
150,26,Darius Garland,G,23.4,5,37.7,27.2,18.3,25,0.84,49,0.469,31,0.387,0.513,0.566,20.6,1.8,5.0,1.6,0.2,3.6,22.4,25.6,27.4,6.0,104.3,106.2,2022-2023,Cleveland Cavaliers,8920794,"$8,920,794 "
151,46,Caris LeVert,G,28.8,5,33.9,20.4,7.3,13,0.615,27,0.519,36,0.361,0.532,0.546,15.0,4.6,2.6,0.4,0.2,1.0,19.6,17.6,22.2,6.7,112.4,109.6,2022-2023,Cleveland Cavaliers,18796296,"$18,796,296 "
152,74,Evan Mobley,C,22.0,5,37.5,15.9,19.9,8,0.625,47,0.468,1,0.0,0.458,0.476,9.8,10.0,2.0,0.6,1.2,2.4,19.8,11.8,21.8,6.2,96.4,105.8,2022-2023,Cleveland Cavaliers,8478720,"$8,478,720 "
153,77,Jarrett Allen,C,25.1,5,38.1,10.3,7.6,6,0.5,36,0.611,0,0.0,0.611,0.608,9.4,7.4,2.4,0.8,1.0,0.6,16.8,11.8,19.2,5.8,136.0,109.7,2022-2023,Cleveland Cavaliers,20000000,"$20,000,000 "
154,111,Isaac Okoro,F-G,22.4,5,14.9,18.7,14.6,6,1.0,10,0.7,13,0.308,0.565,0.624,6.4,1.4,0.8,0.4,0.4,0.8,7.8,7.2,8.6,5.2,117.4,101.9,2022-2023,Cleveland Cavaliers,7040880,"$7,040,880 "
155,118,Cedi Osman,F,28.2,5,18.6,17.1,16.5,9,0.667,5,0.6,20,0.3,0.48,0.518,6.0,3.0,1.0,0.4,0.2,1.0,9.0,7.0,10.0,5.6,97.5,99.9,2022-2023,Cleveland Cavaliers,7426088,"$7,426,088 "
156,134,Robin Lopez,C,35.2,2,3.1,37.6,22.5,2,1.0,3,1.0,0,0.0,1.0,1.031,4.0,0.5,0.0,0.0,0.0,0.5,4.5,4.0,4.5,0.0,,,2022-2023,Cleveland Cavaliers,2905851,"$2,905,851 "
157,155,Lamar Stevens,F,25.9,2,4.4,15.4,0.0,2,1.0,1,0.0,1,1.0,0.75,0.868,2.5,1.5,0.0,0.0,0.0,0.0,4.0,2.5,4.0,0.0,180.1,110.0,2022-2023,Cleveland Cavaliers,1782621,"$1,782,621 "
158,179,Dean Wade,F-C,26.6,2,5.6,8.0,0.0,2,1.0,0,0.0,1,0.0,0.0,0.532,1.0,1.5,0.0,0.0,0.0,0.0,2.5,1.0,2.5,0.0,124.7,112.2,2022-2023,Cleveland Cavaliers,1930681,"$1,930,681 "
159,181,Danny Green,G,36.0,4,9.9,8.3,28.6,0,0.0,1,0.0,4,0.25,0.3,0.3,0.8,1.8,0.3,0.5,0.3,0.5,2.5,1.0,2.8,3.1,69.5,93.2,2022-2023,Cleveland Cavaliers,11710528,"$11,710,528 "
160,187,Raul Neto,G,31.1,2,3.5,26.4,62.1,2,0.5,0,0.0,1,0.0,0.0,0.266,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.0,,,2022-2023,Cleveland Cavaliers,2463490,"$2,463,490 "
161,214,Ricky Rubio,G,32.6,3,5.7,16.6,83.3,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.0,1.7,2.0,1.0,3.0,0.0,46.2,76.1,2022-2023,Cleveland Cavaliers,5853659,"$5,853,659 "
