RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
183,Pascal Siakam,F,26.53,11,38.0,79.2,23.6,9.8,46.0,0.717,129.0,0.481,53.0,0.189,0.423,0.462,17.0,7.5,10.7,3.8,16.0,1.09,0.36,2.0,8.3,96.6,100.4,2019-2020,Toronto Raptors
192,Matt Thomas,G,26.19,10,8.4,17.5,11.5,4.5,0.0,0.0,9.0,0.889,12.0,0.417,0.738,0.738,3.1,1.4,9.0,0.7,12.9,0.1,0.1,0.1,6.9,145.5,102.5,2019-2020,Toronto Raptors
198,Fred VanVleet,G,26.63,11,39.1,81.4,22.9,9.9,25.0,0.84,80.0,0.413,110.0,0.391,0.513,0.537,19.6,4.4,6.0,6.9,28.4,1.64,0.64,2.0,8.6,112.0,103.3,2019-2020,Toronto Raptors
207,Paul Watson,G,25.78,2,4.4,9.1,10.1,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,16.8,0.5,0.0,0.0,0.0,120.2,109.0,2019-2020,Toronto Raptors
1,Precious Achiuwa,F,22.56,73,23.6,49.2,18.5,11.3,131.0,0.595,447.0,0.468,156.0,0.359,0.486,0.503,9.1,6.5,14.9,1.1,6.9,0.51,0.56,1.15,6.8,105.4,104.0,2021-2022,Toronto Raptors
18,OG Anunoby,F,24.74,48,36.0,75.0,20.5,9.7,118.0,0.754,380.0,0.511,317.0,0.363,0.526,0.549,17.1,5.5,8.3,2.6,11.0,1.48,0.52,1.67,6.9,112.2,106.7,2021-2022,Toronto Raptors
33,Dalano Banton,F,22.43,64,10.9,22.6,16.9,19.3,44.0,0.591,151.0,0.464,51.0,0.255,0.443,0.463,3.2,1.9,9.7,1.5,19.8,0.42,0.16,0.83,7.7,98.0,103.9,2021-2022,Toronto Raptors
36,Scottie Barnes,F,20.69,74,35.4,73.7,19.0,11.7,215.0,0.735,739.0,0.543,193.0,0.301,0.524,0.552,15.3,7.5,11.5,3.5,14.7,1.08,0.74,1.84,8.3,115.5,106.7,2021-2022,Toronto Raptors
54,Khem Birch,C,29.53,55,18.0,37.5,11.2,11.1,71.0,0.746,186.0,0.522,14.0,0.0,0.485,0.534,4.5,4.3,13.1,1.0,7.6,0.55,0.47,0.53,6.0,123.8,103.8,2021-2022,Toronto Raptors
64,Isaac Bonga,G,22.42,15,4.6,9.5,11.5,10.8,8.0,0.625,9.0,0.222,4.0,0.25,0.269,0.363,0.8,0.5,5.5,0.3,7.3,0.53,0.13,0.13,4.3,92.5,96.1,2021-2022,Toronto Raptors
