RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
236,Danny Green,G,34.8,62,21.8,45.5,12.3,12.1,14.0,0.786,49.0,0.469,271.0,0.38,0.555,0.561,5.9,2.5,6.5,1.0,6.5,0.95,0.6,0.73,4.5,106.5,106.7,2021-2022,Philadelphia 76ers
253,James Harden,G,32.63,21,37.7,78.6,24.9,16.4,186.0,0.892,145.0,0.476,141.0,0.326,0.483,0.601,21.0,7.0,10.4,10.5,41.4,1.29,0.24,3.43,12.3,121.9,106.9,2021-2022,Philadelphia 76ers
261,Tobias Harris,F,29.74,73,34.8,72.6,21.7,9.5,202.0,0.842,747.0,0.525,275.0,0.367,0.532,0.566,17.2,6.8,10.9,3.4,15.9,0.64,0.59,1.59,8.5,112.9,107.6,2021-2022,Philadelphia 76ers
270,Aaron Henry,F,22.61,6,2.8,5.9,18.5,28.6,0.0,0.0,4.0,0.25,1.0,0.0,0.2,0.2,0.3,0.2,3.3,0.0,0.0,0.0,0.33,0.33,0.0,,,2021-2022,Philadelphia 76ers
328,Isaiah Joe,G,22.78,55,11.1,23.1,15.4,9.1,31.0,0.935,42.0,0.405,135.0,0.333,0.477,0.519,3.6,1.0,5.1,0.6,8.0,0.25,0.05,0.35,4.7,103.4,108.3,2021-2022,Philadelphia 76ers
342,Tyler Johnson,G,29.93,3,12.7,26.5,12.9,9.1,0.0,0.0,3.0,0.333,7.0,0.429,0.55,0.55,3.7,2.0,8.8,0.7,7.4,0.33,0.33,0.33,5.4,109.2,103.6,2021-2022,Philadelphia 76ers
356,DeAndre Jordan,C,33.72,16,13.4,27.9,16.0,21.0,14.0,0.714,54.0,0.593,0.0,0.0,0.593,0.615,4.6,5.8,24.0,0.5,5.6,0.13,0.56,1.0,7.1,117.9,101.0,2021-2022,Philadelphia 76ers
362,Braxton Key,F,25.15,2,3.2,6.7,28.1,50.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,17.5,0.5,23.7,0.5,0.0,1.0,9.9,,,2021-2022,Philadelphia 76ers
373,Furkan Korkmaz,G-F,24.72,67,21.1,44.0,17.6,8.6,84.0,0.81,204.0,0.515,266.0,0.289,0.469,0.502,7.6,2.6,6.9,1.9,13.1,0.49,0.13,0.72,6.3,103.8,111.6,2021-2022,Philadelphia 76ers
426,Tyrese Maxey,G,21.43,75,35.3,73.6,20.2,7.4,246.0,0.866,686.0,0.512,309.0,0.427,0.552,0.594,17.5,3.2,5.1,4.3,19.1,0.73,0.43,1.17,7.0,120.9,110.5,2021-2022,Philadelphia 76ers
450,Paul Millsap,F,37.16,9,11.7,24.4,17.5,19.5,7.0,0.714,22.0,0.5,8.0,0.25,0.467,0.499,3.7,2.8,13.2,0.6,6.8,0.56,0.22,0.89,6.3,100.7,94.2,2021-2022,Philadelphia 76ers
452,Shake Milton,G-F,25.54,55,21.4,44.7,18.2,9.2,73.0,0.836,270.0,0.481,133.0,0.323,0.483,0.517,8.2,2.6,6.7,2.5,17.6,0.51,0.31,0.8,7.0,109.1,107.1,2021-2022,Philadelphia 76ers
486,Georges Niang,F,28.82,76,22.8,47.6,16.8,9.1,59.0,0.881,176.0,0.511,387.0,0.403,0.575,0.594,9.2,2.7,6.5,1.3,8.7,0.39,0.16,0.78,5.6,112.8,104.5,2021-2022,Philadelphia 76ers
538,Myles Powell,G,20.0,11,4.7,9.9,18.0,14.4,2.0,1.0,11.0,0.364,6.0,0.167,0.324,0.364,1.2,0.5,6.4,0.3,8.0,0.09,0.0,0.27,4.8,74.3,99.7,2021-2022,Philadelphia 76ers
553,Paul Reed,F,22.83,38,8.0,16.6,16.6,8.9,14.0,0.429,88.0,0.591,8.0,0.25,0.573,0.568,3.1,2.4,17.0,0.4,8.3,0.87,0.37,0.26,7.2,125.0,88.4,2021-2022,Philadelphia 76ers
611,Jaden Springer,G,19.54,2,2.8,5.8,16.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,19.9,0.0,0.0,0.0,1.0,0.5,0.0,,,2021-2022,Philadelphia 76ers
643,Matisse Thybulle,G-F,25.1,66,25.5,53.2,9.5,10.9,43.0,0.791,156.0,0.673,144.0,0.313,0.575,0.594,5.7,2.3,5.0,1.1,6.1,1.74,1.08,0.59,3.8,116.8,104.1,2021-2022,Philadelphia 76ers
16,Joel Embiid,C-F,29.2,9,37.4,30.9,18.6,84.0,0.905,125.0,0.488,28.0,0.179,0.448,0.561,23.7,9.8,2.7,0.7,2.8,3.9,33.4,26.3,36.1,9.2,105.0,106.6,2022-2023,Philadelphia 76ers
27,Tyrese Maxey,G,22.6,11,38.5,23.4,4.0,31.0,0.903,107.0,0.449,85.0,0.4,0.516,0.55,20.5,4.8,2.3,1.4,0.5,0.7,25.4,22.8,27.6,6.3,113.5,110.7,2022-2023,Philadelphia 76ers
28,James Harden,G,33.8,11,38.8,26.2,16.0,55.0,0.873,101.0,0.406,82.0,0.378,0.478,0.538,20.3,6.2,8.3,1.8,0.4,3.2,26.5,28.5,34.7,10.5,110.3,108.4,2022-2023,Philadelphia 76ers
44,Tobias Harris,F,30.9,11,35.6,17.5,5.6,15.0,0.867,93.0,0.591,41.0,0.366,0.578,0.597,15.3,7.3,1.6,0.6,0.5,0.7,22.5,16.9,24.2,6.3,121.7,109.2,2022-2023,Philadelphia 76ers
94,De'Anthony Melton,G,25.0,11,24.9,15.6,9.0,8.0,0.75,32.0,0.375,49.0,0.388,0.5,0.515,7.9,3.3,1.6,1.2,0.8,0.7,11.2,9.5,12.8,5.6,110.4,109.3,2022-2023,Philadelphia 76ers
124,P.J. Tucker,F,38.1,11,26.7,9.0,8.9,3.0,0.667,11.0,0.455,40.0,0.35,0.51,0.516,4.9,4.5,1.5,1.2,0.3,0.5,9.5,6.4,10.9,4.8,120.9,106.2,2022-2023,Philadelphia 76ers
126,Paul Reed,F,24.0,11,14.3,13.9,13.5,7.0,1.0,38.0,0.579,0.0,0.0,0.579,0.621,4.6,5.5,0.6,0.5,0.4,0.5,10.1,5.3,10.7,6.9,137.4,103.8,2022-2023,Philadelphia 76ers
130,Georges Niang,F,30.0,11,14.3,12.1,12.2,0.0,0.0,10.0,0.6,26.0,0.462,0.667,0.667,4.4,0.4,0.2,0.0,0.2,0.5,4.7,4.5,4.9,2.0,110.6,110.7,2022-2023,Philadelphia 76ers
149,Danuel House Jr.,F-G,30.0,7,6.0,24.7,4.5,1.0,1.0,11.0,0.727,10.0,0.1,0.452,0.466,2.9,1.7,0.1,0.0,0.0,0.1,4.6,3.0,4.7,5.3,90.8,104.3,2022-2023,Philadelphia 76ers
156,Jalen McDaniels,F-C,25.4,8,12.7,10.5,13.0,0.0,0.0,11.0,0.455,9.0,0.333,0.475,0.475,2.4,2.0,0.6,0.1,0.0,0.4,4.4,3.0,5.0,4.5,98.8,109.8,2022-2023,Philadelphia 76ers
157,Jaden Springer,G,20.7,4,4.2,16.1,19.2,2.0,0.5,4.0,1.0,0.0,0.0,1.0,0.922,2.3,0.0,0.0,0.3,0.0,0.3,2.3,2.3,2.3,0.0,133.8,105.7,2022-2023,Philadelphia 76ers
173,Shake Milton,G-F,26.7,6,3.5,15.2,15.5,2.0,1.0,4.0,0.75,1.0,0.0,0.6,0.68,1.3,0.5,0.3,0.3,0.0,0.2,1.8,1.7,2.2,6.6,,,2022-2023,Philadelphia 76ers
184,Furkan Korkmaz,G-F,25.9,3,3.8,15.9,29.1,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.347,0.7,0.3,0.3,0.0,0.0,0.3,1.0,1.0,1.3,4.2,,,2022-2023,Philadelphia 76ers
204,Montrezl Harrell,F-C,29.4,2,3.5,19.8,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,2022-2023,Philadelphia 76ers
216,Dewayne Dedmon,C,33.8,1,5.0,18.5,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,94.9,2022-2023,Philadelphia 76ers
52,Clint Capela,C,25.07,11,30.1,62.6,15.1,14.1,35.0,0.429,82.0,0.561,0.0,0.0,0.561,0.549,9.7,10.3,19.3,1.5,7.7,0.27,1.09,1.45,7.1,115.2,104.6,2018-2019,Houston Rockets
53,Eric Gordon,G,30.47,11,37.2,77.6,20.3,14.3,28.0,0.857,55.0,0.527,95.0,0.4,0.573,0.604,17.8,2.5,3.7,1.3,5.7,0.64,1.0,2.45,4.2,107.0,112.0,2018-2019,Houston Rockets
54,Gerald Green,G-F,33.38,11,8.8,18.4,20.4,6.6,5.0,1.0,11.0,0.182,29.0,0.345,0.425,0.462,3.5,1.1,7.0,0.1,1.6,0.27,0.27,0.27,3.3,91.9,101.4,2018-2019,Houston Rockets
55,James Harden,G,29.8,11,38.6,80.3,37.1,14.2,98.0,0.837,127.0,0.48,137.0,0.35,0.504,0.567,31.6,6.9,10.1,6.6,33.7,2.18,0.91,4.64,11.7,110.2,101.8,2018-2019,Houston Rockets
56,Chris Paul,G,34.11,11,36.1,75.3,22.6,18.1,45.0,0.844,85.0,0.576,63.0,0.27,0.503,0.557,17.0,6.4,9.9,5.5,25.1,2.18,0.64,3.36,9.3,108.8,102.8,2018-2019,Houston Rockets
57,PJ Tucker,F,34.11,11,38.7,80.6,11.0,7.5,23.0,0.826,31.0,0.452,57.0,0.456,0.602,0.637,11.4,7.5,10.9,1.7,6.6,1.73,0.73,0.73,5.4,133.1,104.4,2018-2019,Houston Rockets
66,Austin Rivers,G,26.87,10,21.5,44.9,14.8,11.0,6.0,0.667,27.0,0.407,35.0,0.457,0.565,0.572,7.4,2.1,5.5,1.0,7.2,0.5,0.1,0.8,4.6,109.0,100.8,2018-2019,Houston Rockets
79,Iman Shumpert,G,28.97,8,13.7,28.5,12.3,9.8,4.0,0.25,4.0,0.5,22.0,0.364,0.538,0.522,3.6,1.5,6.2,0.3,2.7,0.13,0.0,0.38,3.4,99.1,106.9,2018-2019,Houston Rockets
91,Danuel House Jr.,F-G,26.02,7,20.1,41.9,13.9,9.0,8.0,0.5,6.0,0.5,31.0,0.258,0.405,0.42,4.9,3.1,8.8,0.1,1.0,0.43,0.29,0.57,2.3,83.8,106.4,2018-2019,Houston Rockets
94,Nene,C-F,36.75,7,7.5,15.7,14.1,17.7,9.0,0.778,10.0,1.0,0.0,0.0,1.0,0.967,3.9,2.0,14.9,0.4,9.8,0.43,0.29,0.43,7.8,169.4,99.8,2018-2019,Houston Rockets
106,Kenneth Faried,F-C,29.57,6,9.4,19.5,12.2,0.0,6.0,0.833,12.0,0.667,1.0,1.0,0.731,0.767,4.0,3.5,21.1,0.3,5.9,0.33,0.0,0.0,6.9,165.2,96.9,2018-2019,Houston Rockets
202,Gary Clark,F,24.58,2,1.9,3.9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5,15.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2018-2019,Houston Rockets
203,Isaiah Hartenstein,F-C,21.11,2,1.2,2.4,38.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,,,2018-2019,Houston Rockets
27,Bruno Caboclo,F,25.06,2,3.3,6.9,13.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.5,25.3,0.0,0.0,0.5,0.0,0.0,0.0,,,2019-2020,Houston Rockets
29,DeMarre Carroll,F,34.21,2,2.9,6.0,15.5,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.5,0.5,1.0,1.5,28.8,0.5,28.7,0.0,0.0,0.0,12.5,,,2019-2020,Houston Rockets
34,Chris Clemons,G,23.22,2,4.1,8.5,32.1,0.0,2.0,0.5,0.0,0.0,5.0,0.4,0.6,0.595,3.5,1.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,116.1,112.7,2019-2020,Houston Rockets
41,Robert Covington,F,29.83,12,31.6,65.7,13.0,10.9,7.0,0.857,27.0,0.481,68.0,0.5,0.674,0.683,11.2,5.0,8.8,1.4,6.9,2.5,1.08,1.0,5.4,125.8,98.8,2019-2020,Houston Rockets
62,Michael Frazier,G,26.6,4,2.9,6.0,19.5,20.0,0.0,0.0,2.0,0.0,2.0,0.5,0.375,0.375,0.8,1.0,19.4,0.5,25.4,0.0,0.0,0.25,10.2,,,2019-2020,Houston Rockets
70,Eric Gordon,G,31.8,12,34.1,71.1,23.8,11.0,40.0,0.875,86.0,0.5,90.0,0.322,0.491,0.537,17.3,2.7,4.4,3.0,14.7,0.83,0.58,2.0,6.1,105.2,109.8,2019-2020,Houston Rockets
75,Jeff Green,F,34.12,12,28.4,59.3,16.5,12.0,17.0,0.824,49.0,0.571,54.0,0.426,0.607,0.629,11.6,5.0,9.8,1.6,8.9,0.5,0.5,1.25,6.4,116.1,105.8,2019-2020,Houston Rockets
78,James Harden,G,31.13,12,37.3,77.7,32.4,13.9,116.0,0.845,111.0,0.631,117.0,0.333,0.564,0.636,29.6,5.6,8.3,7.7,38.8,1.5,0.83,3.75,11.6,123.5,103.8,2019-2020,Houston Rockets
94,Danuel House Jr.,F-G,27.35,9,31.0,64.6,15.7,7.2,13.0,0.769,32.0,0.563,53.0,0.358,0.547,0.568,11.4,5.8,10.4,1.4,7.3,0.89,0.0,0.78,5.8,115.5,105.6,2019-2020,Houston Rockets
137,Ben McLemore,G,27.67,11,11.8,24.5,14.9,7.0,0.0,0.0,4.0,0.25,36.0,0.389,0.55,0.55,4.0,1.0,4.7,0.5,7.0,0.36,0.0,0.27,4.3,109.5,109.5,2019-2020,Houston Rockets
174,Austin Rivers,G,28.2,12,17.6,36.6,15.9,10.7,13.0,0.769,26.0,0.385,35.0,0.257,0.385,0.427,4.8,2.5,7.9,1.3,11.1,0.58,0.08,0.67,5.7,90.9,103.1,2019-2020,Houston Rockets
195,P.J. Tucker,F,35.44,12,34.5,71.9,10.8,12.0,0.0,0.0,21.0,0.476,67.0,0.373,0.54,0.54,7.9,7.2,11.6,1.4,6.0,1.08,0.25,1.0,5.0,111.3,101.7,2019-2020,Houston Rockets
208,Russell Westbrook,G,31.91,8,32.7,68.2,31.5,16.3,32.0,0.531,107.0,0.477,33.0,0.242,0.45,0.464,17.9,7.0,11.9,4.6,25.8,1.5,0.25,3.75,10.2,90.6,103.0,2019-2020,Houston Rockets
21,D.J. Augustin,G,34.42,34,15.0,31.2,16.4,22.8,38.0,0.868,40.0,0.4,96.0,0.406,0.548,0.596,5.4,1.2,4.4,2.2,20.5,0.29,0.0,1.32,6.5,107.1,119.7,2021-2022,Houston Rockets
76,Armoni Brooks,G,23.85,41,16.8,35.1,17.4,8.1,19.0,0.842,38.0,0.605,213.0,0.3,0.474,0.49,6.2,2.0,6.4,1.2,10.3,0.51,0.2,0.56,5.9,100.6,112.3,2021-2022,Houston Rockets
117,Josh Christopher,G,20.34,74,18.0,37.5,21.1,17.2,113.0,0.735,311.0,0.54,189.0,0.296,0.504,0.534,7.9,2.5,7.6,2.0,17.3,0.91,0.18,1.54,7.6,101.0,112.7,2021-2022,Houston Rockets
194,Bruno Fernando,F-C,23.66,10,9.4,19.6,26.2,15.4,19.0,0.579,40.0,0.725,1.0,0.0,0.707,0.699,6.9,4.0,23.3,0.3,6.2,0.1,0.8,0.9,8.6,119.4,96.1,2021-2022,Houston Rockets
219,Usman Garuba,F,20.09,24,10.0,20.8,9.4,11.3,7.0,0.714,24.0,0.583,20.0,0.25,0.489,0.51,2.0,3.5,19.0,0.7,9.6,0.42,0.46,0.25,6.8,120.6,103.8,2021-2022,Houston Rockets
232,Eric Gordon,G,33.29,57,29.3,61.0,18.6,14.6,135.0,0.778,263.0,0.548,301.0,0.412,0.585,0.614,13.4,2.0,3.7,2.7,14.0,0.49,0.32,1.88,5.7,111.4,119.6,2021-2022,Houston Rockets
239,Jalen Green,G,20.17,67,31.9,66.5,23.7,11.3,236.0,0.797,496.0,0.502,458.0,0.343,0.508,0.547,17.3,3.4,5.8,2.6,13.1,0.64,0.27,2.01,6.7,104.8,117.4,2021-2022,Houston Rockets
296,Danuel House Jr.,F-G,28.84,16,14.5,30.3,18.3,17.9,19.0,0.895,40.0,0.375,34.0,0.294,0.405,0.467,4.8,2.7,10.1,1.2,11.5,0.31,0.31,1.13,6.9,89.1,112.8,2021-2022,Houston Rockets
417,Kenyon Martin Jr.,F,21.26,79,21.0,43.7,16.3,9.4,123.0,0.634,355.0,0.617,168.0,0.357,0.591,0.603,8.8,3.8,9.8,1.3,9.4,0.43,0.51,0.76,6.7,118.9,114.0,2021-2022,Houston Rockets
422,Garrison Mathews,G,25.46,65,26.3,54.9,14.4,7.1,180.0,0.794,75.0,0.6,386.0,0.36,0.55,0.602,10.0,2.9,6.1,1.0,5.3,0.88,0.37,0.63,4.7,119.8,111.2,2021-2022,Houston Rockets
487,Daishen Nix,G,20.16,24,10.9,22.6,17.3,24.5,30.0,0.533,41.0,0.488,26.0,0.269,0.455,0.48,3.2,1.4,6.9,1.7,21.5,0.58,0.0,1.08,7.2,92.0,111.7,2021-2022,Houston Rockets
493,David Nwaba,G-F,29.24,46,13.2,27.6,15.8,9.3,67.0,0.716,127.0,0.551,49.0,0.306,0.526,0.567,5.1,3.3,13.6,0.8,8.5,0.61,0.43,0.46,7.2,117.9,108.7,2021-2022,Houston Rockets
530,Kevin Porter Jr.,G-F,21.94,61,31.3,65.1,24.1,17.7,193.0,0.642,395.0,0.456,413.0,0.375,0.511,0.531,15.6,4.4,7.7,6.2,30.7,1.11,0.38,3.15,9.6,103.3,112.1,2021-2022,Houston Rockets
544,Trevelin Queen,G,20.0,10,7.4,15.5,23.8,16.8,4.0,1.0,9.0,0.667,24.0,0.375,0.591,0.619,4.3,1.6,11.8,0.4,8.7,0.5,0.1,0.7,7.6,109.9,110.3,2021-2022,Houston Rockets
583,Dennis Schroder,G,28.57,15,27.0,56.2,20.6,19.9,39.0,0.872,82.0,0.439,58.0,0.328,0.461,0.519,10.9,3.3,6.8,5.9,31.9,0.87,0.2,2.6,8.8,104.1,111.2,2021-2022,Houston Rockets
587,Alperen Sengun,C,19.71,72,20.7,43.1,22.0,18.8,232.0,0.711,408.0,0.539,117.0,0.248,0.502,0.552,9.6,5.5,14.5,2.6,19.1,0.81,0.94,2.01,10.0,107.7,103.6,2021-2022,Houston Rockets
623,Jae'Sean Tate,F,26.45,78,26.4,54.9,19.6,14.6,184.0,0.707,527.0,0.569,202.0,0.312,0.541,0.567,11.8,5.4,11.2,2.8,16.8,0.94,0.53,1.78,8.5,111.7,105.3,2021-2022,Houston Rockets
630,Daniel Theis,F-C,30.02,26,22.5,46.8,16.5,13.6,40.0,0.675,100.0,0.61,79.0,0.291,0.534,0.554,8.4,5.0,12.2,0.8,5.1,0.42,0.65,1.19,5.7,104.6,108.9,2021-2022,Houston Rockets
705,Christian Wood,F,26.54,68,30.8,64.1,23.3,11.0,332.0,0.623,542.0,0.57,336.0,0.39,0.576,0.595,17.9,10.1,18.0,2.3,12.2,0.78,0.97,1.85,9.7,114.1,108.1,2021-2022,Houston Rockets
69,Aron Baynes,F-C,32.51,9,12.8,26.7,7.5,25.2,2.0,0.5,8.0,0.75,6.0,0.333,0.643,0.638,2.1,2.8,11.0,0.3,3.9,0.33,0.33,0.56,3.8,107.9,92.5,2018-2019,Boston Celtics
70,Jaylen Brown,F,22.64,9,30.4,63.3,18.4,13.0,30.0,0.767,47.0,0.638,40.0,0.35,0.586,0.624,13.9,5.8,9.7,1.1,6.3,0.67,0.22,1.67,5.9,111.6,99.8,2018-2019,Boston Celtics
71,Gordon Hayward,F,29.23,9,29.6,61.7,15.3,16.1,19.0,1.0,46.0,0.435,24.0,0.375,0.479,0.549,9.6,4.0,6.9,2.4,13.0,0.67,0.33,1.67,6.1,103.8,106.6,2018-2019,Boston Celtics
72,Al Horford,F-C,33.03,9,34.5,71.8,19.3,13.9,18.0,0.833,66.0,0.424,44.0,0.409,0.5,0.53,13.9,9.0,13.3,4.4,21.7,0.44,0.78,2.11,9.5,107.1,103.5,2018-2019,Boston Celtics
73,Kyrie Irving,G,27.23,9,36.7,76.5,29.8,12.5,40.0,0.9,121.0,0.421,58.0,0.31,0.436,0.488,21.3,4.4,6.2,7.0,35.7,1.33,0.44,3.11,9.5,100.5,104.1,2018-2019,Boston Celtics
74,Marcus Morris,F,29.78,9,28.3,58.9,17.2,7.0,31.0,0.742,39.0,0.59,40.0,0.45,0.633,0.664,13.7,8.1,14.6,1.2,7.4,0.11,0.56,0.78,7.2,130.0,101.3,2018-2019,Boston Celtics
75,Terry Rozier,G,25.24,9,18.0,37.4,20.6,13.2,16.0,0.75,25.0,0.44,34.0,0.235,0.39,0.439,6.4,4.3,12.3,1.9,16.8,0.44,0.22,1.11,8.3,91.5,100.0,2018-2019,Boston Celtics
76,Jayson Tatum,F,21.28,9,32.8,68.3,21.8,12.2,39.0,0.744,81.0,0.481,31.0,0.323,0.482,0.53,15.2,6.7,10.4,1.9,10.0,1.11,0.78,2.0,7.1,100.7,102.9,2018-2019,Boston Celtics
92,Daniel Theis,F,27.19,7,6.0,12.5,16.6,6.3,2.0,1.0,12.0,0.417,2.0,0.0,0.357,0.403,1.7,1.4,12.2,0.0,0.0,0.14,0.14,0.14,0.0,92.7,101.9,2018-2019,Boston Celtics
107,Semi Ojeleye,F,24.52,6,5.8,12.0,13.8,9.2,2.0,1.0,4.0,0.25,5.0,0.6,0.611,0.658,2.2,0.3,3.0,0.3,9.2,0.0,0.0,0.17,4.0,127.9,101.3,2018-2019,Boston Celtics
175,Brad Wanamaker,G,29.89,4,4.3,9.0,27.4,18.6,4.0,0.75,6.0,0.333,1.0,1.0,0.5,0.571,2.5,0.3,3.0,0.8,30.7,0.25,0.0,0.5,7.8,104.9,113.0,2018-2019,Boston Celtics
176,Guerschon Yabusele,F,23.49,4,3.5,7.3,25.3,12.4,7.0,0.571,3.0,0.667,1.0,0.0,0.5,0.565,2.0,0.5,7.3,0.3,11.9,0.0,0.25,0.25,7.7,,,2018-2019,Boston Celtics
193,Robert Williams III,C-F,21.66,3,4.2,8.8,9.9,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.5,0.694,1.3,2.3,28.1,0.0,0.0,0.0,0.0,0.0,0.0,159.0,95.6,2018-2019,Boston Celtics
207,Marcus Smart,G,25.27,2,16.3,33.9,22.4,18.0,6.0,0.667,0.0,0.0,11.0,0.091,0.136,0.257,3.5,2.0,6.3,2.0,17.3,1.5,0.0,1.5,5.9,72.8,102.3,2018-2019,Boston Celtics
21,Jaylen Brown,F-G,23.97,17,39.5,82.4,23.7,11.5,63.0,0.841,168.0,0.56,120.0,0.358,0.55,0.586,21.8,7.5,10.6,2.3,9.9,1.53,0.53,2.41,7.3,110.6,102.7,2019-2020,Boston Celtics
55,Carsen Edwards,G,22.59,1,3.5,7.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2019-2020,Boston Celtics
58,Tacko Fall,C,24.84,2,1.4,2.9,30.0,0.0,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.798,1.5,0.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,,,2019-2020,Boston Celtics
74,Javonte Green,G-F,27.22,1,5.7,11.9,15.7,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.75,0.75,3.0,1.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,143.3,92.9,2019-2020,Boston Celtics
83,Gordon Hayward,F,30.56,5,31.4,65.5,17.2,11.6,8.0,0.875,26.0,0.5,24.0,0.292,0.47,0.504,10.8,4.0,7.1,2.8,13.4,1.4,0.4,1.4,6.3,103.4,104.6,2019-2020,Boston Celtics
110,Enes Kanter,C,28.39,10,10.3,21.4,21.9,7.9,10.0,0.5,41.0,0.512,1.0,1.0,0.536,0.539,5.0,4.3,23.6,0.7,11.9,0.0,0.0,0.4,9.6,119.5,90.1,2019-2020,Boston Celtics
117,Romeo Langford,G-F,20.97,7,6.5,13.6,12.5,15.5,2.0,0.5,8.0,0.375,2.0,0.5,0.45,0.46,1.4,0.4,3.7,0.3,6.2,0.14,0.0,0.29,3.4,85.4,104.6,2019-2020,Boston Celtics
158,Semi Ojeleye,F,25.85,13,9.4,19.6,10.9,3.3,2.0,1.0,5.0,0.4,23.0,0.217,0.339,0.364,1.6,0.9,5.5,0.1,1.1,0.23,0.0,0.08,2.2,81.8,105.5,2019-2020,Boston Celtics
168,Vincent Poirier,C-F,26.96,1,1.8,3.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,70.4,1.0,0.0,0.0,0.0,,,2019-2020,Boston Celtics
185,Marcus Smart,G,26.6,17,38.1,79.4,18.4,16.8,56.0,0.875,75.0,0.493,123.0,0.333,0.497,0.552,14.5,5.2,7.7,4.6,18.0,1.24,0.47,2.65,7.4,106.7,102.5,2019-2020,Boston Celtics
188,Jayson Tatum,F-G,22.61,17,40.6,84.6,28.2,11.0,123.0,0.813,208.0,0.471,126.0,0.373,0.504,0.563,25.7,10.0,13.8,5.0,21.3,1.0,1.18,2.82,10.7,112.5,103.1,2019-2020,Boston Celtics
190,Daniel Theis,F,28.52,17,28.3,59.1,13.6,10.2,33.0,0.788,91.0,0.626,26.0,0.154,0.538,0.578,8.9,7.1,14.1,1.5,7.8,0.35,1.24,0.88,6.4,119.8,96.1,2019-2020,Boston Celtics
203,Kemba Walker,G,30.43,17,36.9,76.9,23.0,9.9,81.0,0.852,130.0,0.569,126.0,0.31,0.518,0.573,19.6,4.1,6.2,5.1,22.5,0.88,0.41,1.88,8.1,116.9,105.5,2019-2020,Boston Celtics
204,Brad Wanamaker,G,31.22,17,16.0,33.4,13.9,21.2,16.0,0.875,33.0,0.515,27.0,0.444,0.583,0.626,4.9,2.0,7.0,1.8,16.1,0.71,0.29,1.06,6.5,111.5,98.3,2019-2020,Boston Celtics
206,Tremont Waters,G,22.75,1,2.4,5.0,18.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.4,1.0,52.8,0.0,0.0,0.0,0.0,,,2019-2020,Boston Celtics
210,Robert Williams III,C-F,22.99,13,11.5,23.9,12.2,17.2,6.0,0.333,30.0,0.767,1.0,0.0,0.742,0.713,3.7,3.9,19.2,0.8,10.6,0.23,0.46,0.54,7.9,136.1,97.1,2019-2020,Boston Celtics
212,Grant Williams,F,21.87,17,10.0,20.8,9.1,11.6,10.0,0.7,9.0,0.556,17.0,0.588,0.769,0.773,2.8,1.5,8.6,0.4,5.0,0.12,0.29,0.24,4.8,143.4,91.9,2019-2020,Boston Celtics
132,Evan Fournier,G-F,28.72,5,33.3,69.4,18.6,6.8,12.0,0.833,33.0,0.424,30.0,0.433,0.532,0.564,15.4,3.6,6.2,1.4,6.6,1.2,0.0,1.0,5.1,115.2,105.7,2020-2021,Boston Celtics
147,Aaron Nesmith,G-F,21.76,5,15.0,31.2,11.8,9.6,2.0,1.0,4.0,0.25,14.0,0.286,0.389,0.424,3.2,2.6,10.0,0.2,1.8,0.2,0.2,0.4,3.2,89.9,108.2,2020-2021,Boston Celtics
152,Payton Pritchard,G,23.48,5,13.5,28.1,13.1,14.4,2.0,1.0,7.0,0.429,10.0,0.3,0.441,0.475,3.4,2.0,8.6,2.4,25.0,0.4,0.0,0.6,7.5,114.6,112.3,2020-2021,Boston Celtics
